file,doc_class,pages,sheet_mm,text_layer,bytes
Guernsey Report 05-05-26 (002).pdf,db_schedule,51,210x297,yes,4690821
Guernsey Report 05-05-26 rev 2.pdf,db_schedule,49,210x297,yes,4444775
Guernsey Report 05-05-26.pdf,db_schedule,51,210x297,yes,4640896
IVTW-SVM-ZZ-XX-SH-E-0051 (ASHP) (1).pdf,db_schedule,294,216x279,yes,3254663
KFH-QRL-BA-XX-DR-E-0508 (002).pdf,db_schedule,1,235x267,yes,2278795
KFH-QRL-BA-XX-SH-E-5001 (003).pdf,db_schedule,413,210x297,yes,14514538
KFH-QRL-BA-XX-SH-E-5001.pdf,db_schedule,413,210x297,yes,14528421
SRP1024-BMD-ZZ-XX-SH-E-4857- C05 Distrubtion Board Schedule No.11 _.pdf,db_schedule,51,210x297,yes,841945
SRP1053-BMD-ZZ-ZZ-T-E-6858-Schedule No 11 Distribution Boards (3).pdf,db_schedule,77,210x297,yes,872849
Switchboard Schedules (P02).pdf,db_schedule,5,297x210,yes,388275
The Angel Cardiff DB Schedules 2023.07.26.pdf,db_schedule,51,210x297,yes,972659
"The Angel, Cardiff DB Schedules 2023.07.26.pdf",db_schedule,51,210x297,yes,779519
W702-OCO03-CD-ZZ-SH-E-675-001 Electrical Core D LV Schematic.pdf,db_schedule,1,841x1189,yes,511723
W702-OCO03-CE-ZZ-SH-E-675-002 Electrical Core E LV Schematic.pdf,db_schedule,1,841x1189,yes,513518
W702-OCO03-CF-ZZ-SH-E-675-003 Electrical Core F LV Schematic.pdf,db_schedule,1,841x1189,yes,519528
W702-OCO03-SW-ZZ-SH-E-675-005 Electrical Sitewide Main LV and Life Safety Secondary Services Schematic (002).pdf,db_schedule,1,841x594,yes,524273
W702-OCO03-ZZ-ZZ-SH-E-005-0007 Elec LV Schematic G.pdf,db_schedule,1,841x1189,yes,599350
W702-O_1.PDF,db_schedule,32,210x297,yes,1838914
rev3 panel fuse now 160A not 32A.pdf,db_schedule,1,841x1189,yes,1523599
rev5   -847-RME-XX-ZZ-DR-E-0900 MAIN LV DISTRIBUTION SCHEMATIC (A0)-C5.pdf,db_schedule,1,841x1189,yes,1396997
Electrical and ICT Services Schedule of Electrical Plant and Equipment #U00d4#U00c7#U00f4 MCCB Schedule.pdf,mccb_sched,19,210x297,yes,687447
W702-OCO03-XX-XX-SC-E-675-008_Electrical and ICT Services Schedule of Electrical Plant and Equipment #U2013 MCCB Schedule_S5 - For Construction_C01.pdf,mccb_sched,19,210x297,yes,837814
10. Electrical Specification - Appendix 5 - ConsumerUnit.png,non-pdf,,,,15490
Example of what i do with the electrical documents  during Quoting process/Goal.docx,non-pdf,,,,184467
Example of what i do with the electrical documents  during Quoting process/Project ASHFIELD SCHOOL/info/Pricing - Ashfield School Swmming Pool Lighting_v26.2 excl emergency pack.pdf,non-pdf,,,no,0
Example of what i do with the electrical documents  during Quoting process/Project South Stand/info/original/Request for quotation.xlsx,non-pdf,,,,17086
Pricing - Ashfield School Swmming Pool Lighting_v26.2 excl emergency pack.pdf,non-pdf,,,no,0
23089-RHB-AA-ZZZ-SC-E-41601_Equipment_System_Schedules_for_the_Electrical_Services.pdf,other,20,216x279,yes,1466237
26010-LJJ-XX-XX-SH-E-2002 - Distribution Board Schedule.pdf,other,146,210x297,yes,7611818
3052-JCP-XX-XX-6--E001_P4 LV Schematic-A1.pdf,other,1,841x594,yes,303361
3052-JCP-XX-XX-6--E001_P5 LV Schematic.pdf,other,1,841x594,yes,319621
DB SCHEDULE (002).pdf,other,84,216x279,yes,8239021
DB SCHEDULE.pdf,other,84,216x279,yes,8106754
SWITCHBOARD SCHEDULE.pdf,other,15,216x279,yes,1266960
114026-NPS-Z2-00-DR-E-6902_A3 External Services LayoutC1.pdf,quote,1,841x594,yes,675737
205987740- ENERGY FORCE VEHICLE DEALERSHIP-ts- Energy Force- EDMUNDSON ELECTRICAL- Contractor.PDF,quote,3,210x297,yes,36923
205987740- ENERGY FORCE VEHICLE DEALERSHIP-ts- Energy Force- EDMUNDSON ELECTRICAL- Stockist.PDF,quote,3,210x297,yes,36705
205988411- ENERGY FORCE VEHICLE DEALERSHIP- ts- K Binks- REXEL UK- Contractor.PDF,quote,3,210x297,yes,39353
205988411- ENERGY FORCE VEHICLE DEALERSHIP- ts- K Binks- REXEL UK- Stockist.PDF,quote,3,210x297,yes,24472
Example of what i do with the electrical documents  during Quoting process/Project South Stand/quote produced/205696330- SOUTH STAND STHELENS REDEVELOPMENT-  Saba Consult- No Stockist- Contractor.PDF,quote,4,210x297,yes,53292
Example of what i do with the electrical documents  during Quoting process/Project South Stand/quote produced/205696330- SOUTH STAND STHELENS REDEVELOPMENT-  Saba Consult- No Stockist- Stockist.PDF,quote,4,210x297,yes,53148
Example of what i do with the electrical documents  during Quoting process/Project South Stand/quote produced/205696330-rev1 SOUTH STAND STHELENS REDEVELOPMENT-  Saba Consult- No Stockist- Contractor.PDF,quote,4,210x297,yes,58423
Example of what i do with the electrical documents  during Quoting process/Project South Stand/quote produced/205696330-rev1 SOUTH STAND STHELENS REDEVELOPMENT-  Saba Consult- No Stockist- Stockist.PDF,quote,4,210x297,yes,58242
Example of what i do with the electrical documents  during Quoting process/Project South Stand/quote produced/205696330-rev2 SOUTH STAND STHELENS REDEVELOPMENT-  Saba Consult- No Stockist- Contractor.PDF,quote,5,210x297,yes,67089
Example of what i do with the electrical documents  during Quoting process/Project South Stand/quote produced/205696330-rev2 SOUTH STAND STHELENS REDEVELOPMENT-  Saba Consult- No Stockist- Stockist.PDF,quote,5,210x297,yes,66846
Example of what i do with the electrical documents  during Quoting process/Project South Stand/quote produced/205696330-rev3 SOUTH STAND STHELENS REDEVELOPMENT-  Saba Consult- No Stockist- Contractor.PDF,quote,4,210x297,yes,55552
Example of what i do with the electrical documents  during Quoting process/Project South Stand/quote produced/205696330-rev3 SOUTH STAND STHELENS REDEVELOPMENT-  Saba Consult- No Stockist- Stockist.PDF,quote,4,210x297,yes,55316
Example of what i do with the electrical documents  during Quoting process/Project South Stand/quote produced/205696330-rev4 SOUTH STAND STHELENS REDEVELOPMENT-  Saba Consult- No Stockist- Contractor.PDF,quote,5,210x297,yes,65068
Example of what i do with the electrical documents  during Quoting process/Project South Stand/quote produced/205696330-rev4 SOUTH STAND STHELENS REDEVELOPMENT-  Saba Consult- No Stockist- Stockist.PDF,quote,5,210x297,yes,64796
Example of what i do with the electrical documents  during Quoting process/Project South Stand/quote produced/205696330-rev5 SOUTH STAND STHELENS REDEVELOPMENT-SUB DB-  Saba Consult- No Stockist- Contractor.PDF,quote,4,210x297,yes,57027
Example of what i do with the electrical documents  during Quoting process/Project South Stand/quote produced/205696330-rev5 SOUTH STAND STHELENS REDEVELOPMENT-SUB DB-  Saba Consult- No Stockist- Stockist.PDF,quote,4,210x297,yes,56735
Example of what i do with the electrical documents  during Quoting process/Project South Stand/quote produced/205696330-rev6 SOUTH STAND STHELENS REDEVELOPMENT-SUB DB-  Saba Consult- No Stockist- Contractor.PDF,quote,4,210x297,yes,56587
